Área;Prioridad;Equipo;Componente;Actividad;Monto 2027 (CLP);Meses con gasto;Hoja;Fila origen;Observación
Sala Compresores;(2026, sin prioridad);Compresores ATLAS COPCO;;contrato mantencion compresores;23400000;Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic;Presupuesto 2026;192;Monto 2026
Sala Compresores;(2026, sin prioridad);Compresor AF;;Mantenimiento a Chiller Compresor AF;1850000;Jun;Presupuesto 2026;193;Monto 2026
Sala Compresores;(2026, sin prioridad);Compresor AF;;Cambio de filtros de aire de alta;5280000;Abr Ago Dic;Presupuesto 2026;194;Monto 2026
Sala Compresores;(2026, sin prioridad);filtros de aire;;cambio de filtros de aire esteril de acumulador y de lineas;11038625;Abr Ago Dic;Presupuesto 2026;195;Monto 2026
SSEE;(2026, sin prioridad);transformadores y celdas;;Análisis de aceite de Trafos;3800000;Jun;Presupuesto 2026;196;Monto 2026
SSEE;(2026, sin prioridad);transformadores y celdas;;Mantenimiento a desconectadores;1200000;Jun;Presupuesto 2026;197;Monto 2026
SSEE;(2026, sin prioridad);transformadores y celdas;;Mantenimiento a trafos;3920000;Jun;Presupuesto 2026;198;Monto 2026
SSEE;(2026, sin prioridad);TGFyA;;mantencion TG de fuerza;3420000;Jun;Presupuesto 2026;199;Monto 2026
SSEE;(2026, sin prioridad);red MT;;Cambio de red de MT;20000000;Jun;Presupuesto 2026;200;Monto 2026
SSEE;(2026, sin prioridad);TGFyA;;Cambio de aceite de trafo;4500000;Oct;Presupuesto 2026;201;Monto 2026
SSEE;(2026, sin prioridad);TGFyA;;Servicio de medición de datos;3360000;Jun Jul Ago Sep Oct Nov Dic;Presupuesto 2026;203;Monto 2026
SSEE;(2026, sin prioridad);TGFyA;;Mantenimiento a grupo electrógeno;1500000;Jun;Presupuesto 2026;204;Monto 2026
SSEE;(2026, sin prioridad);TGFyA;;Mantenimiento tablero sala de máquina;7500000;Jun;Presupuesto 2026;205;Monto 2026
SSEE;(2026, sin prioridad);TGFyA;;Mantenimiento circuitos planta (levantamiento plano unilineal);3000000;Mar;Presupuesto 2026;206;Monto 2026
SSEE;(2026, sin prioridad);red MT;;limpieza de red aerea de MT;2200000;Dic;Presupuesto 2026;207;Monto 2026
SSEE;(2026, sin prioridad);TGFyC;;Mantención Banco de Condensadores;1680000;Jun;Presupuesto 2026;208;Monto 2026
