Área;Prioridad;Equipo;Componente;Actividad;Monto 2027 (CLP);Meses con gasto;Hoja;Fila origen;Observación
Planta de Agua;(2026, sin prioridad);Tk-Balance /motobomba;;Motobomba para mezcla manantial;2250000;Mar Jul Nov;Presupuesto 2026;16;Monto 2026
Planta de Agua;(2026, sin prioridad);Osmosis 1 /motobomba;;Motobomba Entrada;750000;Jun;Presupuesto 2026;17;Monto 2026
Planta de Agua;(2026, sin prioridad);Osmosis 1 /motobomba;;Motobomba Recuperación Rechazo;450000;Jun;Presupuesto 2026;18;Monto 2026
Planta de Agua;(2026, sin prioridad);Osmosis 1 /motobomba;;Motobomba de alta;1200000;Jun;Presupuesto 2026;19;Monto 2026
Planta de Agua;(2026, sin prioridad);Osmosis 2 /motobomba;;Motobomba Entrada;850000;Jun;Presupuesto 2026;20;Monto 2026
Planta de Agua;(2026, sin prioridad);Osmosis 2 /motobomba;;Motobomba de alta;850000;Jun;Presupuesto 2026;21;Monto 2026
Sala de Caldera;(2026, sin prioridad);Sistema redes y condensado;;conservacion de redes de vapor (trampas de vapor);7020746;Ene Abr Jun Sep Dic;Presupuesto 2026;22;Monto 2026
Sala de Caldera;(2026, sin prioridad);desaireador;;mantencion de valvulas e instrumentacion;1144746;Feb May Ago Nov;Presupuesto 2026;24;Monto 2026
Sala de Caldera;(2026, sin prioridad);caldera generador de vapor;;Mantenimiento a alimentador de Gas;800000;Jun;Presupuesto 2026;26;Monto 2026
Sala de Caldera;(2026, sin prioridad);caldera generador de vapor;;Calibración Medidor Gas;300000;Jun;Presupuesto 2026;27;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-2 /motobomba;;Motobomba 1 alimentación balance;2250000;Ene May Sep;Presupuesto 2026;28;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-33 /motobomba;;Mantenimiento de bomba de recirculación tk-33 1;2250000;Mar Jul Nov;Presupuesto 2026;29;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-33 /motobomba;;Mantenimiento de bomba de recirculación tk-33 2;2250000;Mar Jul Nov;Presupuesto 2026;30;Monto 2026
Planta de Agua;(2026, sin prioridad);TK20 /motobomba;;Mantenimiento bomba de recirculación tk-20 7,5 HP;2250000;Abr Ago Dic;Presupuesto 2026;31;Monto 2026
Planta de Agua;(2026, sin prioridad);TK20 /motobomba;;Mantenimiento de bomba auxiliar tk-20 3 HP;2250000;Abr Ago Dic;Presupuesto 2026;32;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-A2 /motobomba;;Recirculación TK-A2;2250000;Ene May Sep;Presupuesto 2026;33;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-A2 /motobomba;;CIP TK-A2;2250000;Ene May Sep;Presupuesto 2026;34;Monto 2026
Planta de Agua;(2026, sin prioridad);CIP4 /motobomba;;Bomba CIP 4;750000;Jun;Presupuesto 2026;35;Monto 2026
Planta de Agua;(2026, sin prioridad);osmosis inversa;;cambio de manometros y medidores de caudal;3270704;Mar Jun Sep;Presupuesto 2026;36;Monto 2026
Planta de Agua;(2026, sin prioridad);equipos UV;;mantencion equipos de recirculacion estanques;2800000;Jun;Presupuesto 2026;37;Monto 2026
Planta de Agua;(2026, sin prioridad);"Tk 20 ; TK 33 ; TK01 ; TK02; TK inter";;Mantencion de Bbas, Valvulas,cambio filtros, niveles;9745303;Jun Nov;Presupuesto 2026;38;Monto 2026
Planta de Agua;(2026, sin prioridad);osmosis inversa 2;;mantencion de bombas tuberias e instrumentacion;2400000;Jun;Presupuesto 2026;40;Monto 2026
Planta de Agua;(2026, sin prioridad);filtros carbon;;Cambio de carbón;6303000;Mar Jun;Presupuesto 2026;45;Monto 2026
Planta de Agua;(2026, sin prioridad);equipos UV;;mantencion equipos troyan;5600000;Jun;Presupuesto 2026;46;Monto 2026
Planta de Agua;(2026, sin prioridad);equipos UV;;mantencion equipos troyan;3800000;Jun;Presupuesto 2026;47;Monto 2026
Planta de Agua;(2026, sin prioridad);Bombas de agua est 900 M3;;mantenciones de bbas valvulas y cañerias;2660000;Feb Abr Jun Oct;Presupuesto 2026;48;Monto 2026
Planta de Agua;(2026, sin prioridad);TK-A2 /motobomba;;Motobomba a producción;750000;Jun;Presupuesto 2026;49;Monto 2026
Planta de Agua;(2026, sin prioridad);estanque acumulador de agua 900 M3;;limpieza y saneado anual de estanque;2387100;Jun;Presupuesto 2026;50;Monto 2026
Planta de Agua;(2026, sin prioridad);estanque acumulador de agua 900 M3;;reparaciones de filtraciones impermeabilizacion;1962422;Ene Mar May Jul Sep Nov;Presupuesto 2026;51;Monto 2026
Planta de Agua;(2026, sin prioridad);estanques de 200 M3 planta de agua;;mantencion de bbas, cañerias y valvulas;2822095;Feb Abr Jun Ago Oct Dic;Presupuesto 2026;59;Monto 2026
Planta de Frío;(2026, sin prioridad);Chiller N°1;;Mantenimiento 5000 hrs;14400000;Mar Jun Sep Dic;Presupuesto 2026;61;Monto 2026
Planta de Frío;(2026, sin prioridad);Chiller N°2;;Mantenimiento 5000 hrs;14400000;Mar Jun Sep Dic;Presupuesto 2026;62;Monto 2026
